"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Bhutan","Electricity - total wind production","2020","Kilowatt-hours, million","1.11",""
"Bhutan","Electricity - total wind production","2019","Kilowatt-hours, million","1.13",""
"Bolivia (Plur. State of)","Electricity - total wind production","2022","Kilowatt-hours, million","438.8",""
"Bolivia (Plur. State of)","Electricity - total wind production","2021","Kilowatt-hours, million","119.6",""
"Bolivia (Plur. State of)","Electricity - total wind production","2020","Kilowatt-hours, million","64.2",""
"Bolivia (Plur. State of)","Electricity - total wind production","2019","Kilowatt-hours, million","70.2",""
"Bonaire, St Eustatius, Saba","Electricity - total wind production","2023","Kilowatt-hours, million","27.44","1"
"Bonaire, St Eustatius, Saba","Electricity - total wind production","2022","Kilowatt-hours, million","27.3","1"
"Bonaire, St Eustatius, Saba","Electricity - total wind production","2021","Kilowatt-hours, million","27.7","1"
"Bonaire, St Eustatius, Saba","Electricity - total wind production","2020","Kilowatt-hours, million","25.4",""
"Bonaire, St Eustatius, Saba","Electricity - total wind production","2019","Kilowatt-hours, million","32.5",""
"Bosnia and Herzegovina","Electricity - total wind production","2022","Kilowatt-hours, million","391",""
"Bosnia and Herzegovina","Electricity - total wind production","2021","Kilowatt-hours, million","382",""
"Bosnia and Herzegovina","Electricity - total wind production","2020","Kilowatt-hours, million","262",""
"Bosnia and Herzegovina","Electricity - total wind production","2019","Kilowatt-hours, million","254",""
"Brazil","Electricity - total wind production","2023","Kilowatt-hours, million","95800.719",""
"Brazil","Electricity - total wind production","2022","Kilowatt-hours, million","81631.569",""
"Brazil","Electricity - total wind production","2021","Kilowatt-hours, million","72285.975",""
"Brazil","Electricity - total wind production","2020","Kilowatt-hours, million","57050",""
"Brazil","Electricity - total wind production","2019","Kilowatt-hours, million","55986",""
"British Virgin Islands","Electricity - total wind production","2023","Kilowatt-hours, million","2.1",""
"British Virgin Islands","Electricity - total wind production","2022","Kilowatt-hours, million","2.002",""
"British Virgin Islands","Electricity - total wind production","2021","Kilowatt-hours, million","2.002",""
"British Virgin Islands","Electricity - total wind production","2020","Kilowatt-hours, million","1.626",""
"British Virgin Islands","Electricity - total wind production","2019","Kilowatt-hours, million","1.25",""
"Bulgaria","Electricity - total wind production","2022","Kilowatt-hours, million","1499.125",""
"Bulgaria","Electricity - total wind production","2021","Kilowatt-hours, million","1433.561",""
"Bulgaria","Electricity - total wind production","2020","Kilowatt-hours, million","1477.131",""
"Bulgaria","Electricity - total wind production","2019","Kilowatt-hours, million","1316.988",""
"Cabo Verde","Electricity - total wind production","2023","Kilowatt-hours, million","76.7686",""
"Cabo Verde","Electricity - total wind production","2022","Kilowatt-hours, million","78.5",""
"Cabo Verde","Electricity - total wind production","2021","Kilowatt-hours, million","78",""
"Cabo Verde","Electricity - total wind production","2020","Kilowatt-hours, million","69",""
"Cabo Verde","Electricity - total wind production","2019","Kilowatt-hours, million","82",""
"Canada","Electricity - total wind production","2022","Kilowatt-hours, million","36853",""
"Canada","Electricity - total wind production","2021","Kilowatt-hours, million","36006",""
"Canada","Electricity - total wind production","2020","Kilowatt-hours, million","35761",""
"Canada","Electricity - total wind production","2019","Kilowatt-hours, million","32873",""
"Chad","Electricity - total wind production","2023","Kilowatt-hours, million","9","1"
"Chad","Electricity - total wind production","2022","Kilowatt-hours, million","9","1"
"Chad","Electricity - total wind production","2021","Kilowatt-hours, million","9",""
"Chad","Electricity - total wind production","2020","Kilowatt-hours, million","9",""
"Chad","Electricity - total wind production","2019","Kilowatt-hours, million","9",""
"Chile","Electricity - total wind production","2022","Kilowatt-hours, million","8893.309",""
"Chile","Electricity - total wind production","2021","Kilowatt-hours, million","7628.098",""
"Chile","Electricity - total wind production","2020","Kilowatt-hours, million","5602.3",""
"Chile","Electricity - total wind production","2019","Kilowatt-hours, million","4896.804",""
"China","Electricity - total wind production","2022","Kilowatt-hours, million","762672",""
"China","Electricity - total wind production","2021","Kilowatt-hours, million","656100",""
"China","Electricity - total wind production","2020","Kilowatt-hours, million","466470",""
"China","Electricity - total wind production","2019","Kilowatt-hours, million","406030",""
"Colombia","Electricity - total wind production","2022","Kilowatt-hours, million","74.298",""
"Colombia","Electricity - total wind production","2021","Kilowatt-hours, million","62.283",""
"Colombia","Electricity - total wind production","2020","Kilowatt-hours, million","10.117",""
"Colombia","Electricity - total wind production","2019","Kilowatt-hours, million","63.324",""
"Costa Rica","Electricity - total wind production","2022","Kilowatt-hours, million","1369.232",""
"Costa Rica","Electricity - total wind production","2021","Kilowatt-hours, million","1573.3",""
"Costa Rica","Electricity - total wind production","2020","Kilowatt-hours, million","1459.442",""
"Costa Rica","Electricity - total wind production","2019","Kilowatt-hours, million","1796.344",""
"Croatia","Electricity - total wind production","2022","Kilowatt-hours, million","2137.8",""
"Croatia","Electricity - total wind production","2021","Kilowatt-hours, million","2061.8",""
"Croatia","Electricity - total wind production","2020","Kilowatt-hours, million","1720.7",""
"Croatia","Electricity - total wind production","2019","Kilowatt-hours, million","1467.3",""
"Cuba","Electricity - total wind production","2022","Kilowatt-hours, million","28",""
"Cuba","Electricity - total wind production","2021","Kilowatt-hours, million","68.9","1"
"Cuba","Electricity - total wind production","2020","Kilowatt-hours, million","67.808","1"
"Cuba","Electricity - total wind production","2019","Kilowatt-hours, million","65","1"
"Curaçao","Electricity - total wind production","2022","Kilowatt-hours, million","189.252",""
"Curaçao","Electricity - total wind production","2021","Kilowatt-hours, million","196.955",""
"Curaçao","Electricity - total wind production","2020","Kilowatt-hours, million","191.386",""
"Curaçao","Electricity - total wind production","2019","Kilowatt-hours, million","208",""
"Cyprus","Electricity - total wind production","2022","Kilowatt-hours, million","224.266",""
"Cyprus","Electricity - total wind production","2021","Kilowatt-hours, million","246.478",""
"Cyprus","Electricity - total wind production","2020","Kilowatt-hours, million","240.408",""
"Cyprus","Electricity - total wind production","2019","Kilowatt-hours, million","238.565",""
"Czechia","Electricity - total wind production","2022","Kilowatt-hours, million","641.331",""
"Czechia","Electricity - total wind production","2021","Kilowatt-hours, million","601.534",""
"Czechia","Electricity - total wind production","2020","Kilowatt-hours, million","699.083",""
"Czechia","Electricity - total wind production","2019","Kilowatt-hours, million","700.014",""
"Denmark","Electricity - total wind production","2022","Kilowatt-hours, million","19027.824",""
"Denmark","Electricity - total wind production","2021","Kilowatt-hours, million","16054.467",""
"Denmark","Electricity - total wind production","2020","Kilowatt-hours, million","16330.215",""
"Denmark","Electricity - total wind production","2019","Kilowatt-hours, million","16149.833",""
"Djibouti","Electricity - total wind production","2023","Kilowatt-hours, million","259.296","1"
"Djibouti","Electricity - total wind production","2022","Kilowatt-hours, million","70","1"
"Djibouti","Electricity - total wind production","2021","Kilowatt-hours, million","69",""
"Dominica","Electricity - total wind production","2023","Kilowatt-hours, million","1.33","1"
"Dominica","Electricity - total wind production","2022","Kilowatt-hours, million","1.26","1"
"Dominica","Electricity - total wind production","2021","Kilowatt-hours, million","1.19",""
"Dominica","Electricity - total wind production","2020","Kilowatt-hours, million","0.595",""
"Dominica","Electricity - total wind production","2019","Kilowatt-hours, million","0.595",""
"Dominican Republic","Electricity - total wind production","2022","Kilowatt-hours, million","1173.61",""
"Dominican Republic","Electricity - total wind production","2021","Kilowatt-hours, million","1222.96",""
"Dominican Republic","Electricity - total wind production","2020","Kilowatt-hours, million","1064.97",""
"Dominican Republic","Electricity - total wind production","2019","Kilowatt-hours, million","792.79",""
"Ecuador","Electricity - total wind production","2023","Kilowatt-hours, million","208.58",""
"Ecuador","Electricity - total wind production","2022","Kilowatt-hours, million","60.6",""
"Ecuador","Electricity - total wind production","2021","Kilowatt-hours, million","62.011",""
"Ecuador","Electricity - total wind production","2020","Kilowatt-hours, million","77.1",""
"Ecuador","Electricity - total wind production","2019","Kilowatt-hours, million","85.53",""
"Egypt","Electricity - total wind production","2022","Kilowatt-hours, million","5784",""
"Egypt","Electricity - total wind production","2021","Kilowatt-hours, million","5257",""
"Egypt","Electricity - total wind production","2020","Kilowatt-hours, million","4233",""
"Egypt","Electricity - total wind production","2019","Kilowatt-hours, million","3688.667",""
"El Salvador","Electricity - total wind production","2023","Kilowatt-hours, million","166.809",""
"El Salvador","Electricity - total wind production","2022","Kilowatt-hours, million","134.896",""
"El Salvador","Electricity - total wind production","2021","Kilowatt-hours, million","131.78489",""
"El Salvador","Electricity - total wind production","2020","Kilowatt-hours, million","14.08309",""
"Eritrea","Electricity - total wind production","2022","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total wind production","2021","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total wind production","2020","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total wind production","2019","Kilowatt-hours, million","2",""
"Estonia","Electricity - total wind production","2022","Kilowatt-hours, million","668",""
"Estonia","Electricity - total wind production","2021","Kilowatt-hours, million","733",""
"Estonia","Electricity - total wind production","2020","Kilowatt-hours, million","844",""
"Estonia","Electricity - total wind production","2019","Kilowatt-hours, million","687",""
"Ethiopia","Electricity - total wind production","2022","Kilowatt-hours, million","529.225",""
"Ethiopia","Electricity - total wind production","2021","Kilowatt-hours, million","560.56",""
"Ethiopia","Electricity - total wind production","2020","Kilowatt-hours, million","817.909",""
"Ethiopia","Electricity - total wind production","2019","Kilowatt-hours, million","609.03",""
"Faeroe Islands","Electricity - total wind production","2023","Kilowatt-hours, million","125.6",""
"Faeroe Islands","Electricity - total wind production","2022","Kilowatt-hours, million","90.208",""
"Faeroe Islands","Electricity - total wind production","2021","Kilowatt-hours, million","54.1",""
"Faeroe Islands","Electricity - total wind production","2020","Kilowatt-hours, million","47.1",""
"Faeroe Islands","Electricity - total wind production","2019","Kilowatt-hours, million","52.6",""
"Falkland Is. (Malvinas)","Electricity - total wind production","2023","Kilowatt-hours, million","4.786",""
"Falkland Is. (Malvinas)","Electricity - total wind production","2022","Kilowatt-hours, million","4.725",""
"Falkland Is. (Malvinas)","Electricity - total wind production","2021","Kilowatt-hours, million","4.4446",""
"Falkland Is. (Malvinas)","Electricity - total wind production","2020","Kilowatt-hours, million","4.2525",""
"Falkland Is. (Malvinas)","Electricity - total wind production","2019","Kilowatt-hours, million","5.1487",""
"Fiji","Electricity - total wind production","2023","Kilowatt-hours, million","0.1","1"
"Fiji","Electricity - total wind production","2022","Kilowatt-hours, million","0.093",""
"Fiji","Electricity - total wind production","2021","Kilowatt-hours, million","0.293",""
"Fiji","Electricity - total wind production","2020","Kilowatt-hours, million","1.136",""
"Fiji","Electricity - total wind production","2019","Kilowatt-hours, million","3.419",""
"Finland","Electricity - total wind production","2022","Kilowatt-hours, million","12022",""
"Finland","Electricity - total wind production","2021","Kilowatt-hours, million","8507",""
"Finland","Electricity - total wind production","2020","Kilowatt-hours, million","8256",""
"Finland","Electricity - total wind production","2019","Kilowatt-hours, million","6025",""
"France","Electricity - total wind production","2022","Kilowatt-hours, million","38004.227",""
"France","Electricity - total wind production","2021","Kilowatt-hours, million","37119.413",""
"France","Electricity - total wind production","2020","Kilowatt-hours, million","40045.404",""
"France","Electricity - total wind production","2019","Kilowatt-hours, million","34721.683",""
"French Polynesia","Electricity - total wind production","2023","Kilowatt-hours, million","0.1","1"
"French Polynesia","Electricity - total wind production","2022","Kilowatt-hours, million","0.08","1"
"French Polynesia","Electricity - total wind production","2021","Kilowatt-hours, million","0.08",""
"French Polynesia","Electricity - total wind production","2020","Kilowatt-hours, million","0.08",""
"French Polynesia","Electricity - total wind production","2019","Kilowatt-hours, million","0.08",""
"Gambia","Electricity - total wind production","2023","Kilowatt-hours, million","2.128","1"
"Gambia","Electricity - total wind production","2022","Kilowatt-hours, million","2.13","1"
"Gambia","Electricity - total wind production","2021","Kilowatt-hours, million","2.13",""
"Gambia","Electricity - total wind production","2020","Kilowatt-hours, million","2.13",""
"Gambia","Electricity - total wind production","2019","Kilowatt-hours, million","2.13",""
"Georgia","Electricity - total wind production","2022","Kilowatt-hours, million","87.5",""
"Georgia","Electricity - total wind production","2021","Kilowatt-hours, million","83.4",""
"Georgia","Electricity - total wind production","2020","Kilowatt-hours, million","90.8",""
"Georgia","Electricity - total wind production","2019","Kilowatt-hours, million","84.694",""
"Germany","Electricity - total wind production","2022","Kilowatt-hours, million","124816",""
"Germany","Electricity - total wind production","2021","Kilowatt-hours, million","114169",""
"Germany","Electricity - total wind production","2020","Kilowatt-hours, million","132102",""
"Germany","Electricity - total wind production","2019","Kilowatt-hours, million","125894",""
"Greece","Electricity - total wind production","2022","Kilowatt-hours, million","10883.25",""
"Greece","Electricity - total wind production","2021","Kilowatt-hours, million","10482.981",""
"Greece","Electricity - total wind production","2020","Kilowatt-hours, million","9310.104",""
"Greece","Electricity - total wind production","2019","Kilowatt-hours, million","7266.347",""
"Grenada","Electricity - total wind production","2023","Kilowatt-hours, million","0.224","1"
"Grenada","Electricity - total wind production","2022","Kilowatt-hours, million","0.224","1"
"Grenada","Electricity - total wind production","2021","Kilowatt-hours, million","0.224","1"
"Grenada","Electricity - total wind production","2020","Kilowatt-hours, million","0.224",""
"Grenada","Electricity - total wind production","2019","Kilowatt-hours, million","0.224",""
"Guam","Electricity - total wind production","2023","Kilowatt-hours, million","0.5","1"
"Guam","Electricity - total wind production","2022","Kilowatt-hours, million","0.5","1"
"Guam","Electricity - total wind production","2021","Kilowatt-hours, million","0.5","1"
"Guam","Electricity - total wind production","2020","Kilowatt-hours, million","0.5",""
"Guam","Electricity - total wind production","2019","Kilowatt-hours, million","0.5",""
"Guatemala","Electricity - total wind production","2023","Kilowatt-hours, million","344",""
"Guatemala","Electricity - total wind production","2022","Kilowatt-hours, million","315.35",""
"Guatemala","Electricity - total wind production","2021","Kilowatt-hours, million","325.29",""
"Guatemala","Electricity - total wind production","2020","Kilowatt-hours, million","317",""
"Guatemala","Electricity - total wind production","2019","Kilowatt-hours, million","220.8",""
"Guyana","Electricity - total wind production","2023","Kilowatt-hours, million","0.35","1"
"Guyana","Electricity - total wind production","2022","Kilowatt-hours, million","0.35",""
"Guyana","Electricity - total wind production","2021","Kilowatt-hours, million","0.35",""
"Guyana","Electricity - total wind production","2020","Kilowatt-hours, million","0.35",""
"Guyana","Electricity - total wind production","2019","Kilowatt-hours, million","0.35",""
"Honduras","Electricity - total wind production","2023","Kilowatt-hours, million","770.137202",""
"Honduras","Electricity - total wind production","2022","Kilowatt-hours, million","685.7971",""
"Honduras","Electricity - total wind production","2021","Kilowatt-hours, million","774.662",""
"Honduras","Electricity - total wind production","2020","Kilowatt-hours, million","707.399",""
"Honduras","Electricity - total wind production","2019","Kilowatt-hours, million","818.29",""
"Hungary","Electricity - total wind production","2022","Kilowatt-hours, million","610",""
"Hungary","Electricity - total wind production","2021","Kilowatt-hours, million","664",""
"Hungary","Electricity - total wind production","2020","Kilowatt-hours, million","655",""
"Hungary","Electricity - total wind production","2019","Kilowatt-hours, million","729",""
"Iceland","Electricity - total wind production","2022","Kilowatt-hours, million","5.733",""
"Iceland","Electricity - total wind production","2021","Kilowatt-hours, million","6.087",""
"Iceland","Electricity - total wind production","2020","Kilowatt-hours, million","6.66",""
"Iceland","Electricity - total wind production","2019","Kilowatt-hours, million","6.569",""
"India","Electricity - total wind production","2022","Kilowatt-hours, million","80714","1"
"India","Electricity - total wind production","2021","Kilowatt-hours, million","77140",""
"India","Electricity - total wind production","2020","Kilowatt-hours, million","67418","1"
"India","Electricity - total wind production","2019","Kilowatt-hours, million","69949","1"
"Iran (Islamic Rep. of)","Electricity - total wind production","2022","Kilowatt-hours, million","812.602",""
"Iran (Islamic Rep. of)","Electricity - total wind production","2021","Kilowatt-hours, million","737.044",""
"Iran (Islamic Rep. of)","Electricity - total wind production","2020","Kilowatt-hours, million","754.249",""
"Iran (Islamic Rep. of)","Electricity - total wind production","2019","Kilowatt-hours, million","615.602",""
"Ireland","Electricity - total wind production","2022","Kilowatt-hours, million","11208.432",""
"Ireland","Electricity - total wind production","2021","Kilowatt-hours, million","9778.381",""
"Ireland","Electricity - total wind production","2020","Kilowatt-hours, million","11549.42",""
"Ireland","Electricity - total wind production","2019","Kilowatt-hours, million","10019.485",""
"Israel","Electricity - total wind production","2022","Kilowatt-hours, million","316.583",""
"Israel","Electricity - total wind production","2021","Kilowatt-hours, million","178.382",""
"Israel","Electricity - total wind production","2020","Kilowatt-hours, million","203.594",""
"Israel","Electricity - total wind production","2019","Kilowatt-hours, million","190.395",""
"Italy","Electricity - total wind production","2022","Kilowatt-hours, million","20494.178",""
"Italy","Electricity - total wind production","2021","Kilowatt-hours, million","20931.374",""
"Italy","Electricity - total wind production","2020","Kilowatt-hours, million","18761.557",""
"Italy","Electricity - total wind production","2019","Kilowatt-hours, million","20202.041",""
"Jamaica","Electricity - total wind production","2023","Kilowatt-hours, million","234.46",""
"Jamaica","Electricity - total wind production","2022","Kilowatt-hours, million","265.4",""
"Jamaica","Electricity - total wind production","2021","Kilowatt-hours, million","264",""
"Jamaica","Electricity - total wind production","2020","Kilowatt-hours, million","280",""
"Jamaica","Electricity - total wind production","2019","Kilowatt-hours, million","272",""
"Japan","Electricity - total wind production","2022","Kilowatt-hours, million","9297.423",""
"Japan","Electricity - total wind production","2021","Kilowatt-hours, million","9412.398",""
"Japan","Electricity - total wind production","2020","Kilowatt-hours, million","8969.849",""
"Japan","Electricity - total wind production","2019","Kilowatt-hours, million","7617.402",""
"Jordan","Electricity - total wind production","2022","Kilowatt-hours, million","1748.2",""
"Jordan","Electricity - total wind production","2021","Kilowatt-hours, million","1595.5",""
"Jordan","Electricity - total wind production","2020","Kilowatt-hours, million","1406.9",""
"Jordan","Electricity - total wind production","2019","Kilowatt-hours, million","874.9",""
"Kazakhstan","Electricity - total wind production","2023","Kilowatt-hours, million","3786.4",""
"Kazakhstan","Electricity - total wind production","2022","Kilowatt-hours, million","2372.1",""
"Kazakhstan","Electricity - total wind production","2021","Kilowatt-hours, million","1747.474",""
"Kazakhstan","Electricity - total wind production","2020","Kilowatt-hours, million","1028.661",""
"Kazakhstan","Electricity - total wind production","2019","Kilowatt-hours, million","707.135",""
"Kenya","Electricity - total wind production","2022","Kilowatt-hours, million","2143",""
"Kenya","Electricity - total wind production","2021","Kilowatt-hours, million","1984.8",""
"Kenya","Electricity - total wind production","2020","Kilowatt-hours, million","1331.4",""
"Kenya","Electricity - total wind production","2019","Kilowatt-hours, million","1562.7",""
"Korea, Republic of","Electricity - total wind production","2022","Kilowatt-hours, million","3372.219",""
"Korea, Republic of","Electricity - total wind production","2021","Kilowatt-hours, million","3182.449",""
"Korea, Republic of","Electricity - total wind production","2020","Kilowatt-hours, million","3151.442",""
"Korea, Republic of","Electricity - total wind production","2019","Kilowatt-hours, million","2680.924",""
"Kosovo","Electricity - total wind production","2022","Kilowatt-hours, million","362.944",""
"Kosovo","Electricity - total wind production","2021","Kilowatt-hours, million","126.316",""
"Kosovo","Electricity - total wind production","2020","Kilowatt-hours, million","90.3",""
"Kosovo","Electricity - total wind production","2019","Kilowatt-hours, million","90.649",""
"Kuwait","Electricity - total wind production","2022","Kilowatt-hours, million","33.52",""
"Kuwait","Electricity - total wind production","2021","Kilowatt-hours, million","29.117",""
"Kuwait","Electricity - total wind production","2020","Kilowatt-hours, million","33.05",""
"Kuwait","Electricity - total wind production","2019","Kilowatt-hours, million","35.886",""
"Latvia","Electricity - total wind production","2022","Kilowatt-hours, million","190.183",""
"Latvia","Electricity - total wind production","2021","Kilowatt-hours, million","141.436",""
"Latvia","Electricity - total wind production","2020","Kilowatt-hours, million","176.842",""
"Latvia","Electricity - total wind production","2019","Kilowatt-hours, million","153.999",""
"Lithuania","Electricity - total wind production","2022","Kilowatt-hours, million","1512.4",""
"Lithuania","Electricity - total wind production","2021","Kilowatt-hours, million","1361.7",""
"Lithuania","Electricity - total wind production","2020","Kilowatt-hours, million","1551.7",""
"Lithuania","Electricity - total wind production","2019","Kilowatt-hours, million","1499.4",""
"Luxembourg","Electricity - total wind production","2022","Kilowatt-hours, million","312.221",""
"Luxembourg","Electricity - total wind production","2021","Kilowatt-hours, million","314.313",""
"Luxembourg","Electricity - total wind production","2020","Kilowatt-hours, million","351.135",""
"Luxembourg","Electricity - total wind production","2019","Kilowatt-hours, million","281.283",""
"Madagascar","Electricity - total wind production","2023","Kilowatt-hours, million","0.5","1"
"Madagascar","Electricity - total wind production","2022","Kilowatt-hours, million","0.5","1"
"Madagascar","Electricity - total wind production","2021","Kilowatt-hours, million","0.465","1"
"Madagascar","Electricity - total wind production","2020","Kilowatt-hours, million","0.465","1"
"Madagascar","Electricity - total wind production","2019","Kilowatt-hours, million","0.465","1"
"Maldives","Electricity - total wind production","2023","Kilowatt-hours, million","2.5",""
"Maldives","Electricity - total wind production","2022","Kilowatt-hours, million","2.5",""
"Maldives","Electricity - total wind production","2021","Kilowatt-hours, million","2.5",""
"Maldives","Electricity - total wind production","2020","Kilowatt-hours, million","2.465",""
"Maldives","Electricity - total wind production","2019","Kilowatt-hours, million","2.465",""
"Malta","Electricity - total wind production","2022","Kilowatt-hours, million","0.058",""
"Malta","Electricity - total wind production","2021","Kilowatt-hours, million","0.058",""
"Malta","Electricity - total wind production","2020","Kilowatt-hours, million","0.058",""
"Malta","Electricity - total wind production","2019","Kilowatt-hours, million","0.058",""
"Mauritania","Electricity - total wind production","2023","Kilowatt-hours, million","119","1"
"Mauritania","Electricity - total wind production","2022","Kilowatt-hours, million","113.893",""
"Mauritania","Electricity - total wind production","2021","Kilowatt-hours, million","138.953","1"
"Mauritania","Electricity - total wind production","2020","Kilowatt-hours, million","137.894",""
"Mauritania","Electricity - total wind production","2019","Kilowatt-hours, million","111.624","1"
"Mauritius","Electricity - total wind production","2022","Kilowatt-hours, million","15.5",""
"Mauritius","Electricity - total wind production","2021","Kilowatt-hours, million","15.28",""
"Mauritius","Electricity - total wind production","2020","Kilowatt-hours, million","18.2",""
"Mauritius","Electricity - total wind production","2019","Kilowatt-hours, million","15.4",""
"Mexico","Electricity - total wind production","2022","Kilowatt-hours, million","20629",""
"Mexico","Electricity - total wind production","2021","Kilowatt-hours, million","20896",""
"Mexico","Electricity - total wind production","2020","Kilowatt-hours, million","19702",""
"Mexico","Electricity - total wind production","2019","Kilowatt-hours, million","16880",""
"Micronesia (Fed. States of)","Electricity - total wind production","2023","Kilowatt-hours, million","1.1","1"
"Micronesia (Fed. States of)","Electricity - total wind production","2022","Kilowatt-hours, million","1.1","1"
"Micronesia (Fed. States of)","Electricity - total wind production","2021","Kilowatt-hours, million","0.1","1"
"Micronesia (Fed. States of)","Electricity - total wind production","2020","Kilowatt-hours, million","0.265","1"
"Micronesia (Fed. States of)","Electricity - total wind production","2019","Kilowatt-hours, million","1.1","1"
"Mongolia","Electricity - total wind production","2023","Kilowatt-hours, million","532.64",""
"Mongolia","Electricity - total wind production","2022","Kilowatt-hours, million","502.504",""
"Mongolia","Electricity - total wind production","2021","Kilowatt-hours, million","567.639",""
"Mongolia","Electricity - total wind production","2020","Kilowatt-hours, million","340",""
"Mongolia","Electricity - total wind production","2019","Kilowatt-hours, million","340","1"
"Montenegro","Electricity - total wind production","2023","Kilowatt-hours, million","311.9",""
"Montenegro","Electricity - total wind production","2022","Kilowatt-hours, million","324.7",""
"Montenegro","Electricity - total wind production","2021","Kilowatt-hours, million","324.7",""
"Montenegro","Electricity - total wind production","2020","Kilowatt-hours, million","320.1",""
"Montenegro","Electricity - total wind production","2019","Kilowatt-hours, million","293.4",""
"Morocco","Electricity - total wind production","2022","Kilowatt-hours, million","5355.878",""
"Morocco","Electricity - total wind production","2021","Kilowatt-hours, million","5106.67",""
"Morocco","Electricity - total wind production","2020","Kilowatt-hours, million","4591.891",""
"Morocco","Electricity - total wind production","2019","Kilowatt-hours, million","4723.385",""
"Namibia","Electricity - total wind production","2023","Kilowatt-hours, million","23.2",""
"Namibia","Electricity - total wind production","2022","Kilowatt-hours, million","23",""
