Region/country/area,Indicator,Year,Renewable energy share of electricity capacity and generation (%)
Andorra,RE share of electricity generation (%),2021,93.27
Andorra,RE share of electricity generation (%),2022,94.06
Andorra,RE share of electricity generation (%),2023,91.35
Andorra,RE share of electricity generation (%),2024,-
Angola,RE share of electricity capacity (%),2019,59.39
Angola,RE share of electricity capacity (%),2020,61.6
Angola,RE share of electricity capacity (%),2021,61.6
Angola,RE share of electricity capacity (%),2022,63.3
Angola,RE share of electricity capacity (%),2023,63.44
Angola,RE share of electricity capacity (%),2024,63.73
Angola,RE share of electricity generation (%),2019,72.85
Angola,RE share of electricity generation (%),2020,80.51
Angola,RE share of electricity generation (%),2021,73.99
Angola,RE share of electricity generation (%),2022,76.3
Angola,RE share of electricity generation (%),2023,76.34
Angola,RE share of electricity generation (%),2024,-
Anguilla,RE share of electricity capacity (%),2019,6.08
Anguilla,RE share of electricity capacity (%),2020,6.08
Anguilla,RE share of electricity capacity (%),2021,6.08
Anguilla,RE share of electricity capacity (%),2022,6.08
Anguilla,RE share of electricity capacity (%),2023,6.08
Anguilla,RE share of electricity capacity (%),2024,6.08
Anguilla,RE share of electricity generation (%),2019,0
Anguilla,RE share of electricity generation (%),2020,0
Anguilla,RE share of electricity generation (%),2021,0
Anguilla,RE share of electricity generation (%),2022,0
Anguilla,RE share of electricity generation (%),2023,0
Anguilla,RE share of electricity generation (%),2024,-
Antigua and Barbuda,RE share of electricity capacity (%),2019,9.8
Antigua and Barbuda,RE share of electricity capacity (%),2020,14.64
Antigua and Barbuda,RE share of electricity capacity (%),2021,19.2
Antigua and Barbuda,RE share of electricity capacity (%),2022,19.2
Antigua and Barbuda,RE share of electricity capacity (%),2023,12.42
Antigua and Barbuda,RE share of electricity capacity (%),2024,12.42
Antigua and Barbuda,RE share of electricity generation (%),2019,3.69
Antigua and Barbuda,RE share of electricity generation (%),2020,4.95
Antigua and Barbuda,RE share of electricity generation (%),2021,6.1
Antigua and Barbuda,RE share of electricity generation (%),2022,6.83
Antigua and Barbuda,RE share of electricity generation (%),2023,6.81
Antigua and Barbuda,RE share of electricity generation (%),2024,-
Argentina,RE share of electricity capacity (%),2019,31.2
Argentina,RE share of electricity capacity (%),2020,32.94
Argentina,RE share of electricity capacity (%),2021,34.46
Argentina,RE share of electricity capacity (%),2022,34.66
Argentina,RE share of electricity capacity (%),2023,35.24
Argentina,RE share of electricity capacity (%),2024,34.98
Argentina,RE share of electricity generation (%),2019,25.25
Argentina,RE share of electricity generation (%),2020,25.79
Argentina,RE share of electricity generation (%),2021,24.41
Argentina,RE share of electricity generation (%),2022,31.79
Argentina,RE share of electricity generation (%),2023,39.68
Argentina,RE share of electricity generation (%),2024,-
Armenia,RE share of electricity capacity (%),2019,37.91
Armenia,RE share of electricity capacity (%),2020,38.53
Armenia,RE share of electricity capacity (%),2021,37.1
Armenia,RE share of electricity capacity (%),2022,38.46
Armenia,RE share of electricity capacity (%),2023,44.1
Armenia,RE share of electricity capacity (%),2024,45.2
Armenia,RE share of electricity generation (%),2019,31.37
Armenia,RE share of electricity generation (%),2020,23.67
Armenia,RE share of electricity generation (%),2021,30.54
Armenia,RE share of electricity generation (%),2022,36.69
Armenia,RE share of electricity generation (%),2023,27.04
Armenia,RE share of electricity generation (%),2024,-
Aruba,RE share of electricity capacity (%),2019,14.81
Aruba,RE share of electricity capacity (%),2020,14.81
Aruba,RE share of electricity capacity (%),2021,14.81
Aruba,RE share of electricity capacity (%),2022,17.18
Aruba,RE share of electricity capacity (%),2023,17.18
Aruba,RE share of electricity capacity (%),2024,16.25
Aruba,RE share of electricity generation (%),2019,19.41
Aruba,RE share of electricity generation (%),2020,21.13
Aruba,RE share of electricity generation (%),2021,20.06
Aruba,RE share of electricity generation (%),2022,19.79
Aruba,RE share of electricity generation (%),2023,18.41
Aruba,RE share of electricity generation (%),2024,-
Australia,RE share of electricity capacity (%),2019,38.26
Australia,RE share of electricity capacity (%),2020,42.23
Australia,RE share of electricity capacity (%),2021,45.02
Australia,RE share of electricity capacity (%),2022,48.07
Australia,RE share of electricity capacity (%),2023,49.56
Australia,RE share of electricity capacity (%),2024,52.5
Australia,RE share of electricity generation (%),2019,19.57
Australia,RE share of electricity generation (%),2020,22.45
Australia,RE share of electricity generation (%),2021,26.5
Australia,RE share of electricity generation (%),2022,30.67
Australia,RE share of electricity generation (%),2023,33.6
Australia,RE share of electricity generation (%),2024,-
Austria,RE share of electricity capacity (%),2019,80.2
Austria,RE share of electricity capacity (%),2020,80.28
Austria,RE share of electricity capacity (%),2021,78.66
Austria,RE share of electricity capacity (%),2022,82.51
Austria,RE share of electricity capacity (%),2023,83.73
Austria,RE share of electricity capacity (%),2024,84.96
Austria,RE share of electricity generation (%),2019,73.6
Austria,RE share of electricity generation (%),2020,76.39
Austria,RE share of electricity generation (%),2021,74.6
Austria,RE share of electricity generation (%),2022,72.85
Austria,RE share of electricity generation (%),2023,80.13
Austria,RE share of electricity generation (%),2024,-
Azerbaijan,RE share of electricity capacity (%),2019,16.87
Azerbaijan,RE share of electricity capacity (%),2020,17
Azerbaijan,RE share of electricity capacity (%),2021,16.52
Azerbaijan,RE share of electricity capacity (%),2022,16.61
Azerbaijan,RE share of electricity capacity (%),2023,20.28
Azerbaijan,RE share of electricity capacity (%),2024,21.29
Azerbaijan,RE share of electricity generation (%),2019,7.33
Azerbaijan,RE share of electricity generation (%),2020,5.47
Azerbaijan,RE share of electricity generation (%),2021,5.8
Azerbaijan,RE share of electricity generation (%),2022,6.7
Azerbaijan,RE share of electricity generation (%),2023,7.24
Azerbaijan,RE share of electricity generation (%),2024,-
Bahamas (the),RE share of electricity capacity (%),2019,0.68
Bahamas (the),RE share of electricity capacity (%),2020,0.7
Bahamas (the),RE share of electricity capacity (%),2021,1.24
Bahamas (the),RE share of electricity capacity (%),2022,1.73
Bahamas (the),RE share of electricity capacity (%),2023,1.73
Bahamas (the),RE share of electricity capacity (%),2024,2.35
Bahamas (the),RE share of electricity generation (%),2019,0.71
Bahamas (the),RE share of electricity generation (%),2020,0.87
Bahamas (the),RE share of electricity generation (%),2021,1
Bahamas (the),RE share of electricity generation (%),2022,1.19
Bahamas (the),RE share of electricity generation (%),2023,1.39
Bahamas (the),RE share of electricity generation (%),2024,-
Bahrain,RE share of electricity capacity (%),2019,0.12
Bahrain,RE share of electricity capacity (%),2020,0.12
Bahrain,RE share of electricity capacity (%),2021,0.22
Bahrain,RE share of electricity capacity (%),2022,0.49
Bahrain,RE share of electricity capacity (%),2023,0.6
Bahrain,RE share of electricity capacity (%),2024,0.69
Bahrain,RE share of electricity generation (%),2019,0.06
Bahrain,RE share of electricity generation (%),2020,0.06
Bahrain,RE share of electricity generation (%),2021,0.11
Bahrain,RE share of electricity generation (%),2022,0.23
Bahrain,RE share of electricity generation (%),2023,0.25
Bahrain,RE share of electricity generation (%),2024,-
Bangladesh,RE share of electricity capacity (%),2019,2.59
Bangladesh,RE share of electricity capacity (%),2020,2.62
Bangladesh,RE share of electricity capacity (%),2021,3.26
Bangladesh,RE share of electricity capacity (%),2022,3.15
Bangladesh,RE share of electricity capacity (%),2023,3.6
Bangladesh,RE share of electricity capacity (%),2024,3.98
Bangladesh,RE share of electricity generation (%),2019,1.52
Bangladesh,RE share of electricity generation (%),2020,1.5
Bangladesh,RE share of electricity generation (%),2021,1.52
Bangladesh,RE share of electricity generation (%),2022,1.7
Bangladesh,RE share of electricity generation (%),2023,2.08
Bangladesh,RE share of electricity generation (%),2024,-
Barbados,RE share of electricity capacity (%),2019,11.17
Barbados,RE share of electricity capacity (%),2020,15.69
Barbados,RE share of electricity capacity (%),2021,19.48
Barbados,RE share of electricity capacity (%),2022,19.16
Barbados,RE share of electricity capacity (%),2023,47.62
Barbados,RE share of electricity capacity (%),2024,19.16
Barbados,RE share of electricity generation (%),2019,3.8
Barbados,RE share of electricity generation (%),2020,5.82
Barbados,RE share of electricity generation (%),2021,7.07
Barbados,RE share of electricity generation (%),2022,8.4
Barbados,RE share of electricity generation (%),2023,9.46
Barbados,RE share of electricity generation (%),2024,-
Belarus,RE share of electricity capacity (%),2019,4.05
Belarus,RE share of electricity capacity (%),2020,4.77
Belarus,RE share of electricity capacity (%),2021,4.34
Belarus,RE share of electricity capacity (%),2022,5.45
Belarus,RE share of electricity capacity (%),2023,5.48
Belarus,RE share of electricity capacity (%),2024,4.84
Belarus,RE share of electricity generation (%),2019,2.5
Belarus,RE share of electricity generation (%),2020,3.49
Belarus,RE share of electricity generation (%),2021,3.37
Belarus,RE share of electricity generation (%),2022,3.24
Belarus,RE share of electricity generation (%),2023,2.93
Belarus,RE share of electricity generation (%),2024,-
Belgium,RE share of electricity capacity (%),2019,39.47
Belgium,RE share of electricity capacity (%),2020,43.62
Belgium,RE share of electricity capacity (%),2021,45.02
Belgium,RE share of electricity capacity (%),2022,48.97
Belgium,RE share of electricity capacity (%),2023,54.18
Belgium,RE share of electricity capacity (%),2024,56.71
Belgium,RE share of electricity generation (%),2019,20.8
Belgium,RE share of electricity generation (%),2020,26.23
Belgium,RE share of electricity generation (%),2021,22.63
Belgium,RE share of electricity generation (%),2022,25.46
Belgium,RE share of electricity generation (%),2023,32.84
Belgium,RE share of electricity generation (%),2024,-
Belize,RE share of electricity capacity (%),2019,50.09
Belize,RE share of electricity capacity (%),2020,50.1
Belize,RE share of electricity capacity (%),2021,50.1
Belize,RE share of electricity capacity (%),2022,50.11
Belize,RE share of electricity capacity (%),2023,50.12
Belize,RE share of electricity capacity (%),2024,39.88
Belize,RE share of electricity generation (%),2019,62.65
Belize,RE share of electricity generation (%),2020,95.44
Belize,RE share of electricity generation (%),2021,81.04
Belize,RE share of electricity generation (%),2022,89.72
Belize,RE share of electricity generation (%),2023,77.28
Belize,RE share of electricity generation (%),2024,-
Benin,RE share of electricity capacity (%),2019,1.41
Benin,RE share of electricity capacity (%),2020,1.75
Benin,RE share of electricity capacity (%),2021,2.12
Benin,RE share of electricity capacity (%),2022,10.12
Benin,RE share of electricity capacity (%),2023,10.62
Benin,RE share of electricity capacity (%),2024,10.62
Benin,RE share of electricity generation (%),2019,0.42
Benin,RE share of electricity generation (%),2020,0.52
Benin,RE share of electricity generation (%),2021,0.63
Benin,RE share of electricity generation (%),2022,3.28
Benin,RE share of electricity generation (%),2023,3.45
Benin,RE share of electricity generation (%),2024,-
"Bonaire, Sint Eustatius and Saba",RE share of electricity capacity (%),2019,38.97
"Bonaire, Sint Eustatius and Saba",RE share of electricity capacity (%),2020,32.55
"Bonaire, Sint Eustatius and Saba",RE share of electricity capacity (%),2021,32.55
"Bonaire, Sint Eustatius and Saba",RE share of electricity capacity (%),2022,32.55
"Bonaire, Sint Eustatius and Saba",RE share of electricity capacity (%),2023,33.91
"Bonaire, Sint Eustatius and Saba",RE share of electricity capacity (%),2024,39.65
"Bonaire, Sint Eustatius and Saba",RE share of electricity generation (%),2019,28.43
"Bonaire, Sint Eustatius and Saba",RE share of electricity generation (%),2020,22.74
"Bonaire, Sint Eustatius and Saba",RE share of electricity generation (%),2021,24.14
"Bonaire, Sint Eustatius and Saba",RE share of electricity generation (%),2022,22.96
"Bonaire, Sint Eustatius and Saba",RE share of electricity generation (%),2023,23.62
"Bonaire, Sint Eustatius and Saba",RE share of electricity generation (%),2024,-
Bhutan,RE share of electricity capacity (%),2019,99.71
Bhutan,RE share of electricity capacity (%),2020,99.64
Bhutan,RE share of electricity capacity (%),2021,99.64
Bhutan,RE share of electricity capacity (%),2022,99.64
Bhutan,RE share of electricity capacity (%),2023,99.65
Bhutan,RE share of electricity capacity (%),2024,99.66
Bhutan,RE share of electricity generation (%),2019,100
Bhutan,RE share of electricity generation (%),2020,100
Bhutan,RE share of electricity generation (%),2021,100
Bhutan,RE share of electricity generation (%),2022,100
Bhutan,RE share of electricity generation (%),2023,100
Bhutan,RE share of electricity generation (%),2024,-
Bolivia (Plurinational State of),RE share of electricity capacity (%),2019,37.33
Bolivia (Plurinational State of),RE share of electricity capacity (%),2020,30.53
Bolivia (Plurinational State of),RE share of electricity capacity (%),2021,31.56
Bolivia (Plurinational State of),RE share of electricity capacity (%),2022,41.19
Bolivia (Plurinational State of),RE share of electricity capacity (%),2023,32.81
Bolivia (Plurinational State of),RE share of electricity capacity (%),2024,32.56
Bolivia (Plurinational State of),RE share of electricity generation (%),2019,36.4
Bolivia (Plurinational State of),RE share of electricity generation (%),2020,35.7
Bolivia (Plurinational State of),RE share of electricity generation (%),2021,38.25
Bolivia (Plurinational State of),RE share of electricity generation (%),2022,36.54
Bolivia (Plurinational State of),RE share of electricity generation (%),2023,30.6
Bolivia (Plurinational State of),RE share of electricity generation (%),2024,-
Bosnia and Herzegovina,RE share of electricity capacity (%),2019,42.2
Bosnia and Herzegovina,RE share of electricity capacity (%),2020,42.49
Bosnia and Herzegovina,RE share of electricity capacity (%),2021,43.53
Bosnia and Herzegovina,RE share of electricity capacity (%),2022,44.09
Bosnia and Herzegovina,RE share of electricity capacity (%),2023,45.41
Bosnia and Herzegovina,RE share of electricity capacity (%),2024,46.62
Bosnia and Herzegovina,RE share of electricity generation (%),2019,36.55
Bosnia and Herzegovina,RE share of electricity generation (%),2020,29.04
Bosnia and Herzegovina,RE share of electricity generation (%),2021,38.77
Bosnia and Herzegovina,RE share of electricity generation (%),2022,32.04
Bosnia and Herzegovina,RE share of electricity generation (%),2023,43.03
Bosnia and Herzegovina,RE share of electricity generation (%),2024,-
Botswana,RE share of electricity capacity (%),2019,0.64
Botswana,RE share of electricity capacity (%),2020,0.64
Botswana,RE share of electricity capacity (%),2021,0.68
Botswana,RE share of electricity capacity (%),2022,0.68
Botswana,RE share of electricity capacity (%),2023,1.11
Botswana,RE share of electricity capacity (%),2024,1.11
Botswana,RE share of electricity generation (%),2019,0.18
Botswana,RE share of electricity generation (%),2020,0.26
Botswana,RE share of electricity generation (%),2021,0.25
Botswana,RE share of electricity generation (%),2022,0.23
Botswana,RE share of electricity generation (%),2023,0.22
Botswana,RE share of electricity generation (%),2024,-
British Virgin Islands,RE share of electricity capacity (%),2019,2.76
British Virgin Islands,RE share of electricity capacity (%),2020,3.13
British Virgin Islands,RE share of electricity capacity (%),2021,3.5
British Virgin Islands,RE share of electricity capacity (%),2022,3.55
British Virgin Islands,RE share of electricity capacity (%),2023,5.01
British Virgin Islands,RE share of electricity capacity (%),2024,5.01
British Virgin Islands,RE share of electricity generation (%),2019,2.02
British Virgin Islands,RE share of electricity generation (%),2020,2.04
British Virgin Islands,RE share of electricity generation (%),2021,2.18
British Virgin Islands,RE share of electricity generation (%),2022,2.31
British Virgin Islands,RE share of electricity generation (%),2023,2.28
British Virgin Islands,RE share of electricity generation (%),2024,-
Brazil,RE share of electricity capacity (%),2019,83.29
Brazil,RE share of electricity capacity (%),2020,83.01
Brazil,RE share of electricity capacity (%),2021,83.34
Brazil,RE share of electricity capacity (%),2022,85.01
Brazil,RE share of electricity capacity (%),2023,85.85
Brazil,RE share of electricity capacity (%),2024,86.85
Brazil,RE share of electricity generation (%),2019,81.41
Brazil,RE share of electricity generation (%),2020,83.15
Brazil,RE share of electricity generation (%),2021,77.35
Brazil,RE share of electricity generation (%),2022,87.7
Brazil,RE share of electricity generation (%),2023,88.99
Brazil,RE share of electricity generation (%),2024,-
Brunei Darussalam,RE share of electricity capacity (%),2019,0.12
Brunei Darussalam,RE share of electricity capacity (%),2020,0.12
Brunei Darussalam,RE share of electricity capacity (%),2021,0.4
Brunei Darussalam,RE share of electricity capacity (%),2022,0.4
Brunei Darussalam,RE share of electricity capacity (%),2023,0.41
Brunei Darussalam,RE share of electricity capacity (%),2024,0.42
Brunei Darussalam,RE share of electricity generation (%),2019,0.02
Brunei Darussalam,RE share of electricity generation (%),2020,0.03
Brunei Darussalam,RE share of electricity generation (%),2021,0.1
Brunei Darussalam,RE share of electricity generation (%),2022,0.1
Brunei Darussalam,RE share of electricity generation (%),2023,0.1
Brunei Darussalam,RE share of electricity generation (%),2024,-
Bulgaria,RE share of electricity capacity (%),2019,38.46
Bulgaria,RE share of electricity capacity (%),2020,39.7
Bulgaria,RE share of electricity capacity (%),2021,40.43
Bulgaria,RE share of electricity capacity (%),2022,42.23
Bulgaria,RE share of electricity capacity (%),2023,47.44
Bulgaria,RE share of electricity capacity (%),2024,51.19
Bulgaria,RE share of electricity generation (%),2019,16.9
Bulgaria,RE share of electricity generation (%),2020,18.32
Bulgaria,RE share of electricity generation (%),2021,21.67
Bulgaria,RE share of electricity generation (%),2022,19.09
Bulgaria,RE share of electricity generation (%),2023,24.99
Bulgaria,RE share of electricity generation (%),2024,-
Burkina Faso,RE share of electricity capacity (%),2019,21.14
Burkina Faso,RE share of electricity capacity (%),2020,21.23
Burkina Faso,RE share of electricity capacity (%),2021,19.15
Burkina Faso,RE share of electricity capacity (%),2022,23.99
Burkina Faso,RE share of electricity capacity (%),2023,34.92
Burkina Faso,RE share of electricity capacity (%),2024,37.85
Burkina Faso,RE share of electricity generation (%),2019,25.17
Burkina Faso,RE share of electricity generation (%),2020,27.87
Burkina Faso,RE share of electricity generation (%),2021,24.4
Burkina Faso,RE share of electricity generation (%),2022,23.79
Burkina Faso,RE share of electricity generation (%),2023,24.52
Burkina Faso,RE share of electricity generation (%),2024,-
Burundi,RE share of electricity capacity (%),2019,51.77
Burundi,RE share of electricity capacity (%),2020,51.83
Burundi,RE share of electricity capacity (%),2021,54.83
Burundi,RE share of electricity capacity (%),2022,60.13
Burundi,RE share of electricity capacity (%),2023,60.33
Burundi,RE share of electricity capacity (%),2024,60.33
Burundi,RE share of electricity generation (%),2019,64.65
Burundi,RE share of electricity generation (%),2020,75.83
Burundi,RE share of electricity generation (%),2021,68.32
Burundi,RE share of electricity generation (%),2022,72.97
Burundi,RE share of electricity generation (%),2023,95.62
Burundi,RE share of electricity generation (%),2024,-
Cabo Verde,RE share of electricity capacity (%),2019,23.48
Cabo Verde,RE share of electricity capacity (%),2020,22.75
Cabo Verde,RE share of electricity capacity (%),2021,23.67
Cabo Verde,RE share of electricity capacity (%),2022,23.2
Cabo Verde,RE share of electricity capacity (%),2023,25.1
Cabo Verde,RE share of electricity capacity (%),2024,26.84
Cabo Verde,RE share of electricity generation (%),2019,18.66
Cabo Verde,RE share of electricity generation (%),2020,16.82
Cabo Verde,RE share of electricity generation (%),2021,18.27
Cabo Verde,RE share of electricity generation (%),2022,16.82
Cabo Verde,RE share of electricity generation (%),2023,15.97
Cabo Verde,RE share of electricity generation (%),2024,-
Cambodia,RE share of electricity capacity (%),2019,61.25
Cambodia,RE share of electricity capacity (%),2020,56.48
Cambodia,RE share of electricity capacity (%),2021,58.05
Cambodia,RE share of electricity capacity (%),2022,52.79
Cambodia,RE share of electricity capacity (%),2023,47.92
Cambodia,RE share of electricity capacity (%),2024,52.66
Cambodia,RE share of electricity generation (%),2019,49.05
Cambodia,RE share of electricity generation (%),2020,49.65
Cambodia,RE share of electricity generation (%),2021,59.13
Cambodia,RE share of electricity generation (%),2022,65.78
Cambodia,RE share of electricity generation (%),2023,42.62
Cambodia,RE share of electricity generation (%),2024,-
Cameroon,RE share of electricity capacity (%),2019,54.06
Cameroon,RE share of electricity capacity (%),2020,54.09
Cameroon,RE share of electricity capacity (%),2021,54.42
Cameroon,RE share of electricity capacity (%),2022,54.46
Cameroon,RE share of electricity capacity (%),2023,55.51
Cameroon,RE share of electricity capacity (%),2024,55.51
Cameroon,RE share of electricity generation (%),2019,75.93
Cameroon,RE share of electricity generation (%),2020,76.73
Cameroon,RE share of electricity generation (%),2021,76.78
Cameroon,RE share of electricity generation (%),2022,76.78
Cameroon,RE share of electricity generation (%),2023,77.05
Cameroon,RE share of electricity generation (%),2024,-
Canada,RE share of electricity capacity (%),2019,67.39
Canada,RE share of electricity capacity (%),2020,67.08
Canada,RE share of electricity capacity (%),2021,69.07
Canada,RE share of electricity capacity (%),2022,70.19
Canada,RE share of electricity capacity (%),2023,70.05
Canada,RE share of electricity capacity (%),2024,70.75
Canada,RE share of electricity generation (%),2019,65.86
Canada,RE share of electricity generation (%),2020,67.03
Canada,RE share of electricity generation (%),2021,67.36
Canada,RE share of electricity generation (%),2022,68.81
Canada,RE share of electricity generation (%),2023,66.17
Canada,RE share of electricity generation (%),2024,-
Cayman Islands,RE share of electricity capacity (%),2019,6.09
Cayman Islands,RE share of electricity capacity (%),2020,6.86
Cayman Islands,RE share of electricity capacity (%),2021,7.31
Cayman Islands,RE share of electricity capacity (%),2022,7.13
Cayman Islands,RE share of electricity capacity (%),2023,7.1
Cayman Islands,RE share of electricity capacity (%),2024,6.74
Cayman Islands,RE share of electricity generation (%),2019,2.39
Cayman Islands,RE share of electricity generation (%),2020,2.81
Cayman Islands,RE share of electricity generation (%),2021,3.05
Cayman Islands,RE share of electricity generation (%),2022,2.99
Cayman Islands,RE share of electricity generation (%),2023,2.84
Cayman Islands,RE share of electricity generation (%),2024,-
Central African Republic (the),RE share of electricity capacity (%),2019,46.53
Central African Republic (the),RE share of electricity capacity (%),2020,46.59
Central African Republic (the),RE share of electricity capacity (%),2021,21.04
Central African Republic (the),RE share of electricity capacity (%),2022,21.04
Central African Republic (the),RE share of electricity capacity (%),2023,45.15
Central African Republic (the),RE share of electricity capacity (%),2024,45.15
Central African Republic (the),RE share of electricity generation (%),2019,96.47
Central African Republic (the),RE share of electricity generation (%),2020,96.47
Central African Republic (the),RE share of electricity generation (%),2021,96.47
Central African Republic (the),RE share of electricity generation (%),2022,96.47
Central African Republic (the),RE share of electricity generation (%),2023,97.46
Central African Republic (the),RE share of electricity generation (%),2024,-
Chad,RE share of electricity capacity (%),2019,1.28
Chad,RE share of electricity capacity (%),2020,1.47
Chad,RE share of electricity capacity (%),2021,1.64
Chad,RE share of electricity capacity (%),2022,1.65
Chad,RE share of electricity capacity (%),2023,1.66
Chad,RE share of electricity capacity (%),2024,1.69
Chad,RE share of electricity generation (%),2019,4.61
Chad,RE share of electricity generation (%),2020,5.33
Chad,RE share of electricity generation (%),2021,5.79
Chad,RE share of electricity generation (%),2022,5.83
Chad,RE share of electricity generation (%),2023,5.7
Chad,RE share of electricity generation (%),2024,-
Chile,RE share of electricity capacity (%),2019,41.77
Chile,RE share of electricity capacity (%),2020,42.95
Chile,RE share of electricity capacity (%),2021,46.78
Chile,RE share of electricity capacity (%),2022,52.09
Chile,RE share of electricity capacity (%),2023,60.72
Chile,RE share of electricity capacity (%),2024,63.22
Chile,RE share of electricity generation (%),2019,46.38
Chile,RE share of electricity generation (%),2020,48.39
Chile,RE share of electricity generation (%),2021,48.58
Chile,RE share of electricity generation (%),2022,55.02
Chile,RE share of electricity generation (%),2023,63.2
Chile,RE share of electricity generation (%),2024,-
China,RE share of electricity capacity (%),2019,37.74
China,RE share of electricity capacity (%),2020,40.72
China,RE share of electricity capacity (%),2021,42.81
China,RE share of electricity capacity (%),2022,45.07
China,RE share of electricity capacity (%),2023,49.77
China,RE share of electricity capacity (%),2024,54.27
China,RE share of electricity generation (%),2019,26.46
China,RE share of electricity generation (%),2020,27.62
China,RE share of electricity generation (%),2021,28.15
China,RE share of electricity generation (%),2022,29.66
China,RE share of electricity generation (%),2023,30.06
China,RE share of electricity generation (%),2024,-
"China, Hong Kong Special Administrative Region",RE share of electricity capacity (%),2019,1.37
"China, Hong Kong Special Administrative Region",RE share of electricity capacity (%),2020,1.36
"China, Hong Kong Special Administrative Region",RE share of electricity capacity (%),2021,1.37
"China, Hong Kong Special Administrative Region",RE share of electricity capacity (%),2022,2.26
"China, Hong Kong Special Administrative Region",RE share of electricity capacity (%),2023,3.58
"China, Hong Kong Special Administrative Region",RE share of electricity capacity (%),2024,3.39
"China, Hong Kong Special Administrative Region",RE share of electricity generation (%),2019,0.31
"China, Hong Kong Special Administrative Region",RE share of electricity generation (%),2020,0.48
"China, Hong Kong Special Administrative Region",RE share of electricity generation (%),2021,0.71
"China, Hong Kong Special Administrative Region",RE share of electricity generation (%),2022,1
"China, Hong Kong Special Administrative Region",RE share of electricity generation (%),2023,1
"China, Hong Kong Special Administrative Region",RE share of electricity generation (%),2024,-
Chinese Taipei,RE share of electricity capacity (%),2019,13.33
Chinese Taipei,RE share of electricity capacity (%),2020,16
Chinese Taipei,RE share of electricity capacity (%),2021,19.01
Chinese Taipei,RE share of electricity capacity (%),2022,22.3
Chinese Taipei,RE share of electricity capacity (%),2023,27.52
Chinese Taipei,RE share of electricity capacity (%),2024,30.56
Chinese Taipei,RE share of electricity generation (%),2019,4.9
Chinese Taipei,RE share of electricity generation (%),2020,4.79
Chinese Taipei,RE share of electricity generation (%),2021,5.4
Chinese Taipei,RE share of electricity generation (%),2022,7.66
Chinese Taipei,RE share of electricity generation (%),2023,8.9
Chinese Taipei,RE share of electricity generation (%),2024,-
Colombia,RE share of electricity capacity (%),2019,69.78
Colombia,RE share of electricity capacity (%),2020,69.51
Colombia,RE share of electricity capacity (%),2021,69.55
Colombia,RE share of electricity capacity (%),2022,71.19
